NOM_BORNE_RECHARGE,NOM_PARC,ADRESSE,VILLE,PROVINCE,NIVEAU_RECHARGE,MODE_TARIFICATION,TYPE_EMPLACEMENT,LONGITUDE,LATITUDE
"CEA-12071","7041 | BSR | CDN-NDG | 6245 Décarie","6245 Décarie Montréal QC H3W 3E1","Montréal","QC","Niveau 2","par heure","sur rue",-73.643093,45.490164
"CEA-12296","7042 | BSR | CDN-NDG | 6450 Victoria","6450 Victoria Montréal QC H3W 2S6","Montréal","QC","Niveau 2","par heure","sur rue",-73.640142,45.495407
"CEA-12289","7042 | BSR | CDN-NDG | 6450 Victoria","6450 Victoria Montréal QC H3W 2S6","Montréal","QC","Niveau 2","par heure","sur rue",-73.640142,45.495407
"CEA-12099","7043 | BSR | CDN-NDG | 4500 Girouard","4500 Girouard Montréal QC H4A 3E6","Montréal","QC","Niveau 2","par heure","sur rue",-73.625168,45.478386
"CEA-12104","7043 | BSR | CDN-NDG | 4500 Girouard","4500 Girouard Montréal QC H4A 3E6","Montréal","QC","Niveau 2","par heure","sur rue",-73.625168,45.478386
"CEA-11616","7045 | BSR | CDN-NDG | 5499 Décarie","5499 Boulevard Décarie Montréal QC H3W 3C6","Montréal","QC","Niveau 2","par heure","sur rue",-73.635588,45.48695
"CEA-11858","7045 | BSR | CDN-NDG | 5499 Décarie","5499 Boulevard Décarie Montréal QC H3W 3C6","Montréal","QC","Niveau 2","par heure","sur rue",-73.635588,45.48695
"CEA-12477","7046 | BSR | CDN-NDG | 5495 Victoria","5495 Avenue Victoria Montréal QC H3W 2P9","Montréal","QC","Niveau 2","par heure","sur rue",-73.631267,45.491809
"CEA-12533","7046 | BSR | CDN-NDG | 5495 Victoria","5495 Avenue Victoria Montréal QC H3W 2P9","Montréal","QC","Niveau 2","par heure","sur rue",-73.631267,45.491809
"CEA-11903","7047 | BSR | CDN-NDG | 7423 Harley","7423 Harley Montréal QC H4B 1L5","Montréal","QC","Niveau 2","par heure",,-73.639277,45.454414
"CEA-11923","7047 | BSR | CDN-NDG | 7423 Harley","7423 Harley Montréal QC H4B 1L5","Montréal","QC","Niveau 2","par heure",,-73.639277,45.454414
"CEA-12971","7048 | BSR | CDN-NDG | 2569 Park Row est","2569 Park Row est Montréal QC H4B 1P4","Montréal","QC","Niveau 2","par heure",,-73.632144,45.461704
"CEA-13047","7048 | BSR | CDN-NDG | 2569 Park Row est","2569 Park Row est Montréal QC H4B 1P4","Montréal","QC","Niveau 2","par heure",,-73.632144,45.461704
"CEA-13053","7048 | BSR | CDN-NDG | 2569 Park Row est","2569 Park Row est Montréal QC H4B 1P4","Montréal","QC","Niveau 2","par heure",,-73.632144,45.461704
"CEA-13097","7048 | BSR | CDN-NDG | 2569 Park Row est","2569 Park Row est Montréal QC H4B 1P4","Montréal","QC","Niveau 2","par heure",,-73.632144,45.461704
"CEA-12990","7049 | BSR | CDN-NDG | 3593 Appleton","3593 Appleton Montréal QC H3S 2A5","Montréal","QC","Niveau 2","par heure",,-73.634693,45.502272
"CEA-13048","7049 | BSR | CDN-NDG | 3593 Appleton","3593 Appleton Montréal QC H3S 2A5","Montréal","QC","Niveau 2","par heure",,-73.634693,45.502272
"CEA-12978","7049 | BSR | CDN-NDG | 3593 Appleton","3593 Appleton Montréal QC H3S 2A5","Montréal","QC","Niveau 2","par heure",,-73.634693,45.502272
